title,content,date
Kata Polisi Hongkong soal Teknologi ETLE-Analisa Kecelakaan yang Dipakai Korlantas,Polisi Hong Kong mengomentari soal teknologi yang digunakan Korlantas Polri dalam meningkatkan keselamatan dan kenyamanan berkendara. Begini katanya.,"Senin, 30 Sep 2024 20:35 WIB"
"Panduan Pakai AI buat Mahasiswa dan Dosen Resmi Kemdikbud, Download di Sini!","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbudristek) merilis buku Panduan Penggunaan Generative Artificial Intelligence (GenAI) pada Pembelajaran di Perguruan Tinggi, Jumat (11/10/2024).Download(unduh) panduan AI di kampus ini di lamans.id/PanduanGenAI.","Jumat, 11 Okt 2024 19:00 WIB"
Sejarah Komputer: Berawal dari Mesin Hitung hingga Teknologi Berbasis Jaringan,"Komputer telah menjadi salah satu aspek paling integral dalam kehidupan abad ke-21 saat ini. Istilah komputer berasal dari bahasa Latincomputareyang berarti menghitung. Mengingat, komputer awalnya dirancang sebagai mesin hitung.","Minggu, 07 Jan 2024 06:00 WIB"
"Ulike Hadir di Indonesia, Bawa Teknologi Kecantikan Hair Removal","Merek teknologi kecantikan yang sedang tren saat ini Ulike, merupakan brand terpercaya di sektor hair removal secara global. Mereka mengungkapkan rencananya untuk memasuki pasar Indonesia di channel online dan offline selama acara pertamanya di Indonesia.",Tidak ada tanggal
Video: Respons ITB soal Kebijakan Kerja Paruh Waktu pada Penerima Keringanan UKT,Pihak Institut Teknologi Bandung (ITB) buka suara terkait kebijakan kerja paruh waktu di kampus untuk mahasiswa penerima beasiswa pengurangan Uang Kuliah Tunggal (UKT). Disebutkan bahwa tujuan kebijakan ini agar mahasiswa bisa berkontribusi pada pengembangan kampus.,"9,082 Views  |  Rabu, 25 Sep 2024 18:30 WIB"
"Profesor Harvard Klaim Dugaan Kedatangan Alien ke Bumi, Pakai Teknologi Ini","Alien terus menjadi perdebatan dan menjadi topik menarik untuk ditelusuri para ilmuwan. Salah satunya adalah seorang ahli astrofisika teoretis di Universitas Harvard, Profesor Avi Loeb, yang dijuluki sebagai 'pemburu alien'.","Senin, 22 Apr 2024 19:00 WIB"
Macam-Macam Perkembangan Teknologi dalam Kehidupan Sehari-hari,"Teknologi menurut Kamus Besar Bahasa Indonesia (KBBI) memiliki dua arti. Pertama, teknologi diartikan sebagai metode ilmiah untuk mencapai tujuan praktis; ilmu pengetahuan terapan. Kedua, teknologi dipahami sebagai keseluruhan sarana untuk menyediakan barang-barang yang diperlukan bagi kelangsungan dan kenyamanan hidup manusia.","Jumat, 22 Des 2023 06:30 WIB"
Realme Pamer Teknologi Fast Charging 300W,"Vendor ponsel China, Realme, tampaknya sedang ambisius mengambangkan teknologi fast charging. Minggu (11/8) kemarin, Realme memamerkan teknologi fast charging 300W-nya yang bisa mengisi daya dari 0 ke 15 persen hanya dalam 32 detik saja.","8,685 Views  |  Selasa, 13 Agu 2024 08:00 WIB"
Pameran Pendingin Ruangan Adu Teknologi Ramah Lingkungan,"Jakarta- RHVAC Indonesia 2024 kembali hadirkan pameran yang fokus pada teknologi refrigerasi, pendingin udara (AC), tata udara & efisiensi energi ramah lingkungan.","Kamis, 26 Sep 2024 16:53 WIB"
Jasad Juragan Teknologi Inggris dan Putrinya Ditemukan,"Juragan teknologi Inggris,Mike Lynch, dan putrinya yang baru berusia 18 tahun, Hannah, tenggelam bersama kapal pesiar mewah Bayesian yang diterjang badai hebat. Keduanya dilaporkan telah ditemukan meninggal dunia.","Kamis, 22 Agu 2024 09:36 WIB"
"Resmikan Graha Utama Akmil, Jokowi Minta TNI Waspada Perubahan Cepat Teknologi","Presiden Joko Widodo (Jokowi) meresmikan Graha Utama Akademi Militer di Magelang, Jawa Tengah. Dalam sambutannya Jokowi mengingatkan kepada semua pihak untuk mewaspadai perubahan-perubahan yang muncul.","Senin, 29 Jan 2024 11:58 WIB"
"Peringati Hakordia, Jokowi Ajak Gunakan Teknologi untuk Cegah Korupsi","Presiden RI Joko Widodo menyampaikan korupsi merupakan tindak kejahatan yang menghambat pembangunan, merusak perekonomian bangsa, dan menyengsarakan rakyat. Oleh sebab itu, dibutuhkan sinergi dari berbagai pihak dalam memberantas korupsi.","Selasa, 12 Des 2023 19:04 WIB"
"Teknologi Jaket Canggih Bakal Diuji Coba di Bulan, Tahan Suhu Ekstrem",Sebuah jaket yang disematkan teknologi canggih bakal diujicoba di luar angkasa. Jaket ini akan dibawa ke bulan untuk dites daya tahannya terhadap suhu ekstrem.,"Jumat, 23 Feb 2024 17:10 WIB"
Trend Micro Siapkan Teknologi Pendeteksi Deepfake,"Penelitian Trend Micro menunjukkan bahwa pelaku kejahatan siber memanfaatkan ledakan penggunaan AI di enterprise, salah satunya adalah penggunaan deepfake.","Sabtu, 03 Agu 2024 11:14 WIB"
"Ubah Pikiran Jadi Teks, Begini Teknologi AI DeWave","Para peneliti dari University of Technology Sydney's GrapheneX pada UTS Human Artificial Intelligence Centre membuat DeWave, inovasi pengubah pikiran menjadi kata-kata untuk berkomunikasi.","Kamis, 28 Des 2023 07:30 WIB"
India Ingin Kendalikan Google dan Raksasa Teknologi Digital,"Pada bulan Agustus, pengadilan AS di Washington DC. memvonis Google telah melanggar Undang-undang Antimonopoli dan menghabiskan miliaran dolar untuk mengukuhkan dominasinya di pasar pencarian web dan periklanan.","Jumat, 06 Sep 2024 17:38 WIB"
Modernisasi Pertanian China dengan Bantuan Satelit,"Teknologi satelit terbukti mendorong modernisasi pertanian dan meningkatkan pasokan pangan di Lishu, daerah penghasil biji-bijian utama di Jilin, China. Proses pertanian dipantau dengan satelit Jilin-1, yang bisa memberikan peringatan hama dan penyakit hingga kelembapan tanah.","29,659 Views  |  Selasa, 24 Sep 2024 13:03 WIB"
Menu Kopi di Kedai Ini Dibuat dengan Bantuan Teknologi AI,Google Indonesia dan Kopi Janji Jiwa memanfaatkan fitur Gemini dalam membuat 1 menu kopi baru yang dibuat dengan bantuan teknologi AI.,"Sabtu, 07 Sep 2024 01:30 WIB"
Merancang Geoekonomi Teknologi Kita,[Gambas:Video 20detik],"Selasa, 02 Apr 2024 14:30 WIB"
Seberapa Siap RI Memasuki Era Smart City? Teknologi Jadi Kunci,Penataan kota dan kawasan tak bisa lagi dilakukan dengan cara lawas. Pendekatan smart city jadi pilihan cara yang digunakan untuk mendorong pengembangan kawasan yang lebih bisa memenuhi kebutuhan masyarakat yang tinggal di dalamnya.,"Jumat, 24 Nov 2023 07:58 WIB"
"Wujud SUV Compact BYD yang Irit, Harga Rp 240 Jutaan",Jakarta- BYD merilis Sealion 05 DM-i. Mobil yang masuk kategori SUV compact teknologi hybrid electric vehicles (HEV) ini memiliki konsumsi BBM yang irit.,"Rabu, 25 Sep 2024 08:09 WIB"
Kawasan Industri Surabaya Pakai Teknologi IoT Meteran Air Tingkatkan Efisiensi,PDAM Surya Sembada Surabaya akan menggunakan teknologi Internet of Things (IoT) pada meteran air di kawasan industri. PT SIER pertama kalinya menerapkan untuk meningkatkan pelayanan dan meningkatkan efisiensi dan efektivitas pengelolaan air bersih.,"Senin, 02 Sep 2024 00:05 WIB"
Rahasia Sukses untuk Inovasi Teknologi,Di era modern serba cepat ini tentunya pasti akan beradu inovasi satu sama lain. Hal itu tentu merupakan sebuah tantangan tersendiri dalam mengembangkan suatu ide hingga menjadi inovasi dan dapat diimplementasikan.,"Selasa, 14 Mei  2024 19:40 WIB"
Indonesia dan Mesir Bahas Kerja Sama di Bidang Teknologi Informasi,"Mesir menjadi negara pertama yang mengajukan pertemuan bilateral dalam High Level Forum on Multi Stakeholder Partnerships (HLF-MSP) dan Indonesia Africa Forum (IAF) 2024. Pertemuan tersebut digelar di Nusa Dua, Kuta Selatan, Badung, Bali, pada Senin (2/9/2024).","Senin, 02 Sep 2024 14:40 WIB"
Jangan Sampai Kudet! Ini 10 Istilah Teknologi AI dan Pengertiannya,"Sejak generative artificial intelligence (AI) menjadi semakin populer pada akhir 2022, banyak pemahaman dasar akan teknologi tersebut. Nah, agar detikers tidak kudet alias kurang update, ini 10 istilah AI yang perlu diketahui.","Senin, 09 Sep 2024 10:25 WIB"
Detik-detik Horor Kapal Mewah Bos Teknologi Tenggelam Mendadak,"Kru kapal pesiar mewah Bayesian yang tenggelam di lepas pantai Sisilia, Italia angkat bicara momen horor saat kapal itu celaka dan akhirnya menewaskan 7 orang, termasuk juragan teknologi asal Inggris, Mike Lynch.","Senin, 02 Sep 2024 19:32 WIB"
"Buka GIIAS Bandung 2024, Bey Machmudin Terkesan Teknologi Baru Otomotif","Penjabat Gubernur Jawa Barat Bey Machmudin membuka Gaikindo Indonesia International Auto Show (GIIAS) 2024. Ajang itu digelar di Sudirman Grand Ballroom, Kota Bandung.","Rabu, 25 Sep 2024 22:40 WIB"
"Gunakan Teknologi Modern, 11 Situs Kuno yang Misterius Berhasil Terungkap","Pandangan kita terhadap sejarah kuno seringkali diselimuti oleh misteri yang tampaknya belum terpecahkan. Namun, selama bertahun-tahun, sejarawan terus mengumpulkan informasi baru dan arkeolog yang menemukan artefak di situs-situs kuno terus memberikan lebih banyak informasi dengan bantuan teknologi yang terus berkembang ini.","Jumat, 17 Nov 2023 10:00 WIB"
Mahasiswa di Inggris Buat Nanomaterial Baru untuk Deteksi Sidik Jari,"Seorang mahasiswa di Inggris bersama peneliti asal Inggris dan Brasil sedang ciptakan alat yang bisa mendeteksi sidik jari bahkan untuk ukuran residu yang kecil. Mereka gunakan bubuk nanomaterial yang berasal dari bubuk cangkang udang, kepiting, atau lobster. Hasil pengujiannya bubuk halus ini mampu menangkap lebih banyak detail meskipun hanya sedikit residu sidik jari yang menempel.","12,551 Views  |  Kamis, 19 Sep 2024 08:59 WIB"
Konsep Pernikahan dengan Teknologi AI Jadi Tren Baru di 2024,"Bridestory akui âFloral Wondersâ masih menjadi tren konsep pernikahan yang diminati para calon pengantin di tahun ini. Selain itu, apa lagi ya? Simak penjelasannya berikutâ¦",Tidak ada tanggal
Teknologi di Balik Pengambilan Air Zamzam,"Sumur zamzam tidak pernah mengering sejak zaman Nabi Ismail. Secara ajaib, mata air zamzam keluar saat Nabi Ismail menangis karena kehausan di padang pasir bersama ibunya, Siti Hajar.","Sabtu, 15 Jun 2024 17:15 WIB"
Teknologi AI Buatan RI Banyak Dipakai Instansi Pemerintah,Teknologi Artificial Intelligence (AI) karya anak bangsa mengalami perkembangan pesat dan mulai banyak digunakan di instansi pemerintahan.,"Kamis, 29 Agu 2024 15:50 WIB"
Inovasi Teknologi Mudahkan Pasien Berobat Tanpa Antre,Bekasi- Inovasi teknologi dilakukan dalam rangka memberi pelayanan kesehatan terbaik kepada pasien. Inovasi itu memungkinkan pasien berobat tanpa antre.,"Senin, 23 Sep 2024 21:17 WIB"
Ini yang Dikhawatirkan Menkominfo dari Teknologi AI,"Teknologi Artificial Intellegence atau kecerdasan buatan dapat membantu manusia. Namun, kehadiran AI mengundang ketakutan.","3,014 Views  |  Selasa, 04 Jun 2024 08:14 WIB"
Teknologi Baru Buat yang LDR: 'Hadirkan' Orang Terkasih Lewat Hologram 3D,Perusahaan asal Belanda bernama Holoconnects membuat teknologi bernama Holobox. Holobox ini mampu menciptakan hologram 3D yang hidup dalam resolusi 4K. Seperti apa?,"4,075 Views  |  Senin, 15 Jan 2024 07:54 WIB"
"Sambut Teknologi AI, Tata Kelola Libatkan Multistakeholder","Teknologi Kecerdasan Artifisial (AI) memang seperti pisau bermata dua. Alih-alih memberikan kemaslahatan bagi manusia dan kemanusiaan, AI justru rentan memberikan banyak persoalan dan dampak negatif yang tak terbayangkan sebelumnya.","Minggu, 02 Jun 2024 13:07 WIB"
"Implementasi Teknologi BIM, WIKA Gedung Raih Penghargaan di Level ASEAN",PT Wijaya Karya Bangunan Gedung Tbk (WEGE) berhasil meraih penghargaan di level ASEAN. Kali ini WEGE meraih penghargaan sebagai Grand Winner Innovator of the Year Award dalam ajang bergengsi 'Autodesk ASEAN Innovation Award 2024'.,"Rabu, 28 Agu 2024 13:05 WIB"
Bos Telkom Ajak Raksasa Telco Lincah Sambut Perkembangan Teknologi,"Direktur Utama Telkom Ririek Adriansyah mengatakan tren makro global telah mengubah masa depan transformasi digital di seluruh dunia, termasuk Indonesia.","Kamis, 29 Agu 2024 13:48 WIB"
BMKG Ajak Nelayan Melek Teknologi Buat Tingkatkan Produktivitas Tangkapan,"Plt Kepala Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) Dwikorita Karnawati mengajak para nelayan memanfaatkan kemajuan teknologi untuk meningkatkan produktivitas tangkapan ikan serta keamanan. BMKG telah memiliki sistem informasi bernama Indonesian Weather Information for Shipping (INA-WIS) dan aplikasi InfoBMKG sebagai acuan dalam melaut dan menangkap ikan.","39,515 Views  |  Jumat, 30 Agu 2024 05:27 WIB"
"Teknologi AI Kian Berkembang Pesat, Tapi Manusia Tetap Pengendalinya","Teknologi kecerdasan buatan atau artificial intelligence (AI) mengundang kekhawatiran, terutama bisa menggantikan peran manusia di masa mendatang. Kendati begitu, keberadaan manusia akan tetap menjadi pengendalinya.","Senin, 26 Agu 2024 22:30 WIB"
Proses Transplantasi Jantung Robotik Pertama pada Anak di Arab Saudi,Rumah Sakit dan Pusat Penelitian Spesialis King Faisal di Arab Saudi melakukan transplantasi jantung robotik pertama pada pasien berusia 16 tahun. Teknologi robotik ini diharapkan bisa mempercepat proses pemulihan pasien.,"64,045 Views  |  Senin, 16 Sep 2024 17:00 WIB"
"Mengenal IDCHAIN, Teknologi Blockchain Untuk Proteksi Data Pribadi","Seiring semakin masifnya pemanfaatan layanan digital, keamanan data menjadi sorotan utama. Teknologi blockhain disebut sebagai solusi potensial untuk memperkuat infrastruktur digital di masa depan.","Selasa, 27 Agu 2024 20:09 WIB"
Pertamina Edukasi Inovasi Teknologi Energi Terbarukan di Kalangan SMA,"Sebanyak 10 sekolah sudah menjadi bagian dari Program SEB, yakni SMK Negeri 2 Dumai, SMA Negeri 14 Palembang (Sumatera) SMA Negeri 40 Jakarta Utara, SMK Merdeka Bandung, SMA Negeri 3 Cilacap, SMP Negeri 7 Cirebon, SMA Negeri 14 Semarang (Jawa) SMA Negeri 8 Denpasar (Bali) SMP Negeri 1 Tidore (Maluku) dan SMA Negeri 6 Sorong (Papua).","Sabtu, 24 Agu 2024 12:47 WIB"
"Prabowo ke Wisudawan Unhan: Bawa Ilmu dan Teknologi, Hilangkan Kemiskinan",Menteri Pertahanan (Menhan)Prabowo Subiantoberharap putra putri terbaik bangsa Indonesia bisa berkontribusi dalam upaya mengentaskan kelaparan dan kemiskinan. Hal ini disampaikan Prabowo di hadapan 425 wisudawan Univeristas Pertahanan RI.,"Sabtu, 24 Agu 2024 19:42 WIB"
Sensasi Teknologi AI di Berbagai Bidang Komputasi,Jakarta- Tingginya penggunaan AI di berbagai alat komputasi membuat produsen chip berlomba-lomba mengembangkan teknologi untuk memenuhi kebutuhan itu. Ini salah satunya.,"Rabu, 18 Sep 2024 21:50 WIB"
Pemerintah Bakal Kasih Insentif Investasi Data Center,"Banyak perusahaan teknologi berlomba-lomba membangun data center untuk menyokong pelatihan dan pengembangan teknologi kecerdasan buatan (AI). Melihat ini, pemerintah juga membuka peluang bagi perusahaan asing yang mau berinvestasi dan membangun infrastruktur di RI.","Jumat, 11 Okt 2024 21:30 WIB"
Museum Nasional Indonesia Refresh! Ditata Sesuai Jati Diri Nusantara,Museum Nasional Indonesia (MNI) mulai dibuka kembali usai renovasi pasca kebakaran. Penataan MNI kini sesuai jati diri Nusantara. Ini penjelasan kurator.,"Jumat, 11 Okt 2024 21:25 WIB"
Telkomsel Hadirkan Pemanfaatan Teknologi 5G Standalone Pertama di RI,"Telkomsel menghadirkan teknologi 5G Standalone (5G SA) pertama di Indonesia. Pemanfaatan 5G Standalone digelar di Ibu Kota Nusantara, Bali, dan Maluku Utara.","Senin, 19 Agu 2024 13:20 WIB"
Sucofindo Bahas Penggunaan Teknologi AI untuk Sustainability Bareng IBM,"PT Sucofindo (Persero) mengikuti Media Briefing IBM Think 2024 Singapore di Sand Expo and Convention Center, Singapura. Pertemuan ini membahas penggunaan Teknologi Kecerdasan Buatan/Artificial Intelligence (AI) khususnya di lingkup organisasi di Asia Tenggara (ASEAN).","Senin, 19 Agu 2024 12:40 WIB"
Ada Lomba Lari di BSD Pakai Teknologi Canggih,Lomba lariDocorun for Health 2024baru saja diadakan akhir pekan kemarin. Uniknya lomba ini memakai teknologi canggih.,"Senin, 19 Agu 2024 22:50 WIB"
Teknologi LASIK Jadi Solusi Pegolf agar Penglihatan Tajam Bebas Hambatan,"Penglihatan yang tajam adalah kunci bagi para golfer untuk mencapai performa terbaik di lapangan. Bagi sebagian besar atlet, kondisi mata, seperti miopia, astigmatisma, atau hipermetropia bisa menjadi penghalang yang signifikan.","Minggu, 25 Agu 2024 11:26 WIB"
"Jasad Putri Bos Teknologi Ditemukan, Remaja Pintar yang Lolos Oxford","Juragan teknologi Inggris,Mike Lynch, dan putrinya yang baru berusia 18 tahun, Hannah, tenggelam bersama kapal pesiar mewah Bayesian yang diterjang badai hebat. Keduanya dilaporkan telah ditemukan meninggal dunia.","Kamis, 22 Agu 2024 13:36 WIB"
NASA Uji Coba Telemedicine di Antariksa Bersama Misi Polaris Dawn,"NASA tengah melakukan uji coba telemedicine di antariksa. Penelitian tersebut dilakukan dalam misi Polaris Dawn yang baru saja diluncurkan dengan roket Falcon 9 SpaceX, Selasaf (10/9). Para awak akan mengumpulkan data kesehatan, salah satunya soal mabuk perjalanan di luar angkasa.","18,032 Views  |  Jumat, 13 Sep 2024 08:02 WIB"
"8 Penemuan Orang Indonesia yang Diakui Dunia, Bidang Sains hingga Teknologi",Indonesia memiliki banyak ilmuwan yang penemuannya diakui dunia. Beberapa di antaranya bahkan mendapatkan penghargaan dan diapresiasi dalam berbagai jurnal ilmiah. Siapa saja ilmuwan tersebut?,"Rabu, 07 Feb 2024 14:00 WIB"
"Rumah Berkualitas Butuh Meterial Berkualitas, Produsen Baja Lokal Pamer Teknologi","Rumah yang berkualitas dan tahan lama dipengaruhi dari materialnya yang dipakai.Materialyang kuat saja tidak cukup, dibutuhkan produk-produk yang juga aman bagi lingkungan. Mengingat saat ini sudah ada teknologi yang dapat mendukung pembuatan material-material yang ramah lingkungan tersebut.","Minggu, 11 Agu 2024 20:30 WIB"
"Kapal Mewah Tenggelam, Pesta Elite Bos Teknologi Berujung Tragedi","Mike Lynchdan beberapa koleganya sebenarnya sedang merayakan kebebasan dalam kasus berlarut-larut dengan raksasa internet Amerika Serikat, Hewlett-Packard. Namun nasib nahas menimpanya, kapal pesiar mewah yang ditumpanginya tenggelam dan juragan teknologi asal Inggris itu hilang.","Rabu, 21 Agu 2024 11:15 WIB"
"Intip Penitipan Anak di Dubai, Gunakan AI Pantau Perkembangan Anak",Dubai- Sebuah tempat penitipan anak di Dubai menggunakan AI dan teknologi canggih untuk memantau perkembangan anak usia dini. Begini potretnya.,"Rabu, 18 Sep 2024 21:01 WIB"
Sejarah Hari Kebangkitan Teknologi Nasional 10 Agustus dan Contoh Ucapannya,Hari Kebangkitan Teknologi Nasional (Harteknas) diperingati setiap 10 Agustus. Peringatan ini ditetapkan sebagai bentuk dari keberhasilan penerbangan pertama (first flight) dari pesawat N-250 Gatotkaca pada tanggal 10 Agustus 1995.,"Sabtu, 10 Agu 2024 04:30 WIB"
Jasad Putri Bos Teknologi yang Tenggelam Ditemukan Setelah 5 Hari,"JasadHannah Lynch, putri bungsu bos teknologi InggrisMike Lynch, telah ditemukan. Hannah merupakan orang terakhir yang ditemukan setelahkapal pesiarmilik keluarganya tenggelam di perairan Sisilia, Italia pada Senin (19/8) kemarin.","Sabtu, 24 Agu 2024 09:45 WIB"
"Mengenal Teknologi Diamans Glazed Technology dan Through Body, Apa Itu?","Pameran IndoBuildTech 2024 yang berlangsung di ICE BSD, Tangerang, Banten, menjadi ajang bagi PT Cahaya Lestari Permai Abadi untuk teknologi terbaru di sektor industri bahan bangunan.","Sabtu, 10 Agu 2024 20:35 WIB"
"Jasad Juragan Teknologi Ditemukan, Ternyata Putrinya Masih Hilang","Tim penyelam dari kepolisian Italia telah berhasil mengangkat 5 jenazah yang ditemukan di kapan pesiar mewah Bayesian yang tenggelam di Sisilia, Italia. Beberapa media di mancanegara sempat melaporkan bahwa jasad taipan teknologi Inggris Mike Lynch dan putrinya, Hannah, termasuk yang sudah diambil dari dasar laut.","Jumat, 23 Agu 2024 10:40 WIB"
